SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
42809,456568475.4490676,518,781,847,350.8314,58.850525,1.8907,suzaku,xis,508011020,suzaku/xis/508011020
44640,456568531.4490596,322,826,748,350.80624,58.82186,1.1753,suzaku,xis,508011020,suzaku/xis/508011020
45550,456568555.4490562,312,784,811,350.82974,58.840103,1.1388,suzaku,xis,508011020,suzaku/xis/508011020
45646,456568555.4490562,548,738,893,350.85547,58.863842,2.0002,suzaku,xis,508011020,suzaku/xis/508011020
45964,456568563.4490551,371,711,830,350.87057,58.8456,1.35415,suzaku,xis,508011020,suzaku/xis/508011020
46188,456568571.44905394,462,757,815,350.84485,58.841263,1.6863,suzaku,xis,508011020,suzaku/xis/508011020
46915,456568595.4490505,542,855,803,350.79,58.83778,1.9783,suzaku,xis,508011020,suzaku/xis/508011020
47789,456568619.4490471,410,831,815,350.80344,58.841255,1.4965,suzaku,xis,508011020,suzaku/xis/508011020
48091,456568627.44904596,569,771,744,350.837,58.820705,2.07685,suzaku,xis,508011020,suzaku/xis/508011020
48276,456568627.44904596,599,587,832,350.93997,58.84614,2.18635,suzaku,xis,508011020,suzaku/xis/508011020
48479,456568635.4490448,567,731,910,350.8594,58.868763,2.06955,suzaku,xis,508011020,suzaku/xis/508011020
48649,456568643.4490437,720,794,752,350.82413,58.82302,2.628,suzaku,xis,508011020,suzaku/xis/508011020
49025,456568651.44904256,666,731,874,350.8594,58.85834,2.4309,suzaku,xis,508011020,suzaku/xis/508011020
49045,456568651.44904256,439,692,803,350.8812,58.83778,1.60235,suzaku,xis,508011020,suzaku/xis/508011020
49209,456568659.4490414,1222,799,797,350.82135,58.83605,4.4603,suzaku,xis,508011020,suzaku/xis/508011020
49375,456568659.4490414,246,640,920,350.91037,58.87164,0.8979,suzaku,xis,508011020,suzaku/xis/508011020
49386,456568667.4490403,501,1051,674,350.6805,58.800346,1.82865,suzaku,xis,508011020,suzaku/xis/508011020
49389,456568667.4490403,506,1012,788,350.70218,58.833374,1.8469,suzaku,xis,508011020,suzaku/xis/508011020
49677,456568675.4490391,532,864,739,350.785,58.81925,1.9418,suzaku,xis,508011020,suzaku/xis/508011020
49717,456568675.4490391,365,846,876,350.795,58.858913,1.33225,suzaku,xis,508011020,suzaku/xis/508011020
49983,456568683.44903797,324,824,766,350.80737,58.827072,1.1826,suzaku,xis,508011020,suzaku/xis/508011020
50613,456568699.4497681,634,769,810,350.83813,58.839813,2.3141,suzaku,xis,508011020,suzaku/xis/508011020
52386,456568755.4490278,845,1222,762,350.58478,58.82567,3.08425,suzaku,xis,508011020,suzaku/xis/508011020
52781,456568763.44902664,2906,766,781,350.8398,58.831417,10.6069,suzaku,xis,508011020,suzaku/xis/508011020
53643,456568787.4490233,1009,785,867,350.82916,58.856316,3.68285,suzaku,xis,508011020,suzaku/xis/508011020
54339,456568803.44902104,189,655,857,350.90192,58.853405,0.68985,suzaku,xis,508011020,suzaku/xis/508011020
54424,456568811.4490199,808,807,772,350.81686,58.82881,2.9492,suzaku,xis,508011020,suzaku/xis/508011020
55060,456568827.44901764,468,710,776,350.87112,58.829967,1.7082,suzaku,xis,508011020,suzaku/xis/508011020
55685,456568843.4490154,605,631,889,350.91537,58.862663,2.20825,suzaku,xis,508011020,suzaku/xis/508011020
55749,456568851.4490143,594,836,833,350.80063,58.846466,2.1681,suzaku,xis,508011020,suzaku/xis/508011020
56401,456568867.44901204,519,747,798,350.85043,58.836338,1.89435,suzaku,xis,508011020,suzaku/xis/508011020
57056,456568891.4490087,448,947,762,350.73856,58.82588,1.6352,suzaku,xis,508011020,suzaku/xis/508011020
57098,456568891.4490087,706,816,745,350.81183,58.820995,2.5769,suzaku,xis,508011020,suzaku/xis/508011020
